id,cycle_time_days,material_type,tool_wear_level,clean_room_pressure,layer_thickness_nm,chemical_concentration,etching_voltage,deposition_rate,humidity_level,photoresist_thickness_variation,etching_uniformity,particle_count,doping_concentration,product_defect
SK-58360,46,0,3,142,177.0,0,0,174,0,1.6,2,0.0,3.0,0
GJ-90881,51,0,4,130,216.0,0,2,156,1,0.0,1,0.0,3.0,0
RZ-11993,48,1,4,124,266.0,0,2,122,1,1.8,2,3.0,7.0,1
ZS-03092,70,0,3,140,197.0,0,0,150,0,0.0,1,1.0,3.0,0
MW-21522,47,1,3,120,257.0,0,2,141,1,1.0,2,0.0,3.0,1
DZ-70212,50,1,3,130,227.0,0,2,163,0,0.0,1,1.0,3.0,0
IU-98468,57,1,4,128,131.0,1,2,155,1,0.0,1,0.0,7.0,0
AI-47597,54,1,4,123,286.0,0,2,145,1,0.8,2,0.0,7.0,1
UU-96825,62,0,3,120,248.0,0,2,97,0,0.0,1,0.0,3.0,0
YT-97502,53,1,4,140,298.0,0,0,95,1,2.1,1,0.0,6.0,1
MG-69974,64,1,4,145,286.0,0,0,105,1,2.1,3,1.0,7.0,1
FB-69086,67,1,4,160,212.0,1,0,140,0,1.0,2,0.0,3.0,0
NF-22744,45,1,4,138,311.0,0,0,147,1,0.4,1,3.0,7.0,1
PW-01400,71,0,4,110,197.0,0,0,163,0,0.0,1,0.0,3.0,1
JX-86279,71,0,2,120,149.0,0,0,134,0,0.3,2,0.0,3.0,0
AU-04408,63,1,2,140,187.0,0,0,145,0,0.2,2,1.0,6.0,1
WC-95294,35,1,2,101,282.0,0,2,174,0,0.0,1,1.0,3.0,0
NM-01037,41,1,4,132,231.0,1,0,143,1,0.4,2,1.0,7.0,1
EF-20237,61,1,2,150,273.0,0,0,150,0,1.6,1,0.0,7.0,0
FJ-47112,58,0,4,170,327.0,0,2,159,0,1.3,3,0.0,3.0,1
ZN-65696,69,1,3,145,234.0,1,2,150,0,0.0,1,0.0,3.0,0
YS-34496,66,1,2,160,234.0,0,0,143,0,1.4,1,0.0,3.0,0
BN-94810,38,0,3,112,268.0,0,2,202,0,0.0,1,0.0,3.0,0
ZC-22161,70,1,4,156,174.0,0,0,140,0,2.8,3,2.0,7.0,1
WN-67729,64,1,3,152,212.0,0,2,171,0,1.6,1,0.0,3.0,0
NO-77908,61,1,4,140,177.0,0,2,142,1,2.4,2,2.0,7.0,1
DD-56607,59,1,4,164,218.0,1,2,140,1,0.0,1,0.0,7.0,0
TC-58811,46,1,1,138,309.0,0,2,142,1,2.8,2,1.0,3.0,0
WR-29131,52,1,2,134,255.0,0,0,171,0,0.8,1,0.0,3.0,0
OY-43219,44,1,4,104,260.0,0,2,144,0,1.2,2,0.0,7.0,1
WS-00524,61,1,4,140,234.0,0,0,162,1,0.0,1,0.0,7.0,1
YF-49635,48,1,3,120,253.0,0,2,178,0,0.0,1,3.0,3.0,0
XA-51134,60,1,4,140,259.0,0,2,162,0,0.5,2,0.0,7.0,0
HB-60333,55,1,2,160,289.0,0,2,195,0,0.0,1,3.0,7.0,1
TB-68390,57,1,4,110,318.0,0,0,124,1,3.4,2,0.0,7.0,1
HY-76238,51,0,3,140,294.0,0,2,162,0,0.0,1,0.0,3.0,0
VF-42903,62,1,4,120,281.0,0,0,163,0,0.2,2,0.0,7.0,1
VG-09204,53,1,1,134,204.0,0,2,169,0,1.4,3,1.0,3.0,0
TT-50340,43,1,3,140,243.0,0,2,178,0,0.0,1,0.0,3.0,0
HZ-24259,51,1,3,125,227.0,1,2,158,0,0.0,1,3.0,3.0,0
EM-16113,51,0,3,94,267.0,0,2,141,0,0.0,1,0.0,3.0,0
JJ-37656,43,1,4,152,315.0,0,0,147,1,2.6,2,0.0,7.0,1
VQ-58345,42,1,1,152,247.0,0,2,180,0,1.0,2,0.0,7.0,0
ZD-29191,44,1,3,130,240.0,0,2,180,0,0.0,1,0.0,3.0,0
SF-57426,52,0,3,132,319.0,0,0,149,0,1.9,2,0.0,3.0,0
LF-25872,55,0,4,140,234.0,0,2,143,1,0.8,2,0.0,3.0,0
QI-78002,40,1,3,130,321.0,0,2,178,1,2.0,1,0.0,3.0,0
PC-36924,52,0,4,112,340.0,0,0,136,0,1.8,2,0.0,3.0,0
RW-60157,51,1,4,130,222.0,0,2,156,0,0.1,2,2.0,,0
OY-44719,40,1,4,132,172.0,0,0,168,0,0.0,1,0.0,7.0,0
DG-38970,38,1,4,118,192.0,0,0,140,0,1.2,2,0.0,7.0,0
TV-54439,60,0,4,174,327.0,1,2,145,0,1.2,2,1.0,3.0,1
DL-40199,62,1,1,150,212.0,0,0,171,0,1.2,1,0.0,3.0,0
GB-34135,59,1,3,110,218.0,0,2,146,0,0.6,2,1.0,3.0,0
BG-64524,48,0,4,138,305.0,0,0,125,1,1.9,2,0.0,3.0,0
GW-94265,56,0,4,128,263.0,0,2,143,1,1.2,2,0.0,3.0,0
MA-75446,38,1,1,118,235.0,0,2,187,0,1.4,2,0.0,3.0,0
RF-97454,51,1,3,140,185.0,0,0,173,0,1.2,1,1.0,3.0,0
QM-72930,49,1,3,138,227.0,0,0,158,0,0.0,1,1.0,3.0,1
IR-27246,45,1,4,112,239.0,0,2,181,0,0.0,2,0.0,7.0,1
OB-79761,60,1,4,117,220.0,0,0,141,1,0.9,2,0.0,7.0,1
RL-45838,59,1,1,150,176.0,0,0,171,0,3.8,1,0.0,3.0,0
KO-68457,65,0,3,180,417.0,1,2,157,0,4.0,2,3.0,7.0,1
LZ-63493,62,1,4,140,322.0,0,2,127,0,3.4,2,2.0,7.0,1
NK-82741,57,0,2,130,275.0,0,0,149,0,0.0,1,0.0,3.0,1
DN-19730,61,0,3,102,340.0,0,1,134,0,0.2,1,0.0,3.0,0
HY-65107,56,1,2,132,232.0,0,2,174,0,0.2,2,0.0,7.0,0
KB-51625,41,1,3,130,214.0,0,2,168,1,3.5,3,1.0,3.0,0
VP-59815,44,1,4,110,290.0,0,2,159,0,0.0,1,0.0,7.0,1
JN-41207,64,1,2,128,231.0,0,2,151,0,0.0,1,1.0,3.0,1
QJ-54387,61,1,4,140,253.0,0,2,156,1,3.0,1,3.0,7.0,1
SI-14142,57,1,4,165,227.0,1,2,168,0,0.2,3,1.0,6.0,1
ZF-43253,64,1,3,160,212.0,1,2,137,1,0.6,1,0.0,3.0,1
OH-76098,57,1,4,140,276.0,0,0,103,0,1.6,2,3.0,7.0,1
IW-62908,57,1,4,154,207.0,0,2,108,1,0.1,2,1.0,,1
MC-02701,62,0,4,124,197.0,0,0,142,0,2.0,2,2.0,7.0,1
EM-98469,60,1,1,178,199.0,1,2,159,0,0.8,2,1.0,7.0,0
CK-53316,44,1,2,128,244.0,1,2,178,0,0.0,1,0.0,3.0,0
XI-56594,48,1,3,129,255.0,1,0,153,0,0.4,2,0.0,7.0,1
OM-68052,52,1,1,130,298.0,0,0,153,0,0.9,1,1.0,7.0,1
RP-09051,41,1,4,140,192.0,0,0,168,0,1.6,1,0.0,7.0,1
UB-31739,60,1,2,120,258.0,0,2,103,1,1.4,3,1.0,3.0,1
TM-90143,66,0,1,150,313.0,0,2,143,0,1.2,2,2.0,3.0,0
AT-51843,57,0,4,128,256.0,0,2,123,1,0.2,2,1.0,3.0,1
KW-70004,49,1,2,130,226.0,1,0,165,0,0.2,1,0.0,3.0,0
LX-92455,54,0,3,108,219.0,1,0,154,0,0.6,2,2.0,3.0,0
MW-70443,45,1,2,120,220.0,0,0,184,0,0.0,1,0.0,3.0,0
XP-56366,63,0,4,160,327.0,0,2,154,0,0.8,1,0.0,3.0,1
QC-41137,56,0,4,135,407.0,0,2,169,0,0.8,1,0.0,3.0,0
US-97033,51,1,3,100,149.0,0,0,158,0,0.0,1,1.0,3.0,0
ZV-22933,68,0,3,160,302.0,0,2,114,0,1.5,2,0.0,3.0,1
TU-22347,34,1,4,126,223.0,0,0,186,0,0.0,1,0.0,7.0,1
DD-94444,65,1,2,120,248.0,0,2,103,0,0.0,2,1.0,6.0,1
AK-97963,42,0,2,138,306.0,0,0,179,0,1.2,1,0.0,3.0,0
XK-02389,64,1,4,128,208.0,0,2,144,0,1.0,2,1.0,7.0,1
XC-70550,55,1,4,130,286.0,0,2,132,0,2.2,2,2.0,6.0,1
TU-26966,54,1,4,123,262.0,0,2,145,1,0.1,2,0.0,7.0,0
MT-99204,64,1,4,130,187.0,0,2,132,0,2.5,2,2.0,7.0,1
OP-59872,43,1,4,140,311.0,0,0,142,1,3.2,2,0.0,7.0,1
JG-35569,51,1,4,144,298.0,1,0,98,1,1.6,2,0.0,7.0,1
XV-40465,58,0,4,170,201.0,1,0,160,1,1.4,1,1.0,3.0,1
IA-30951,58,1,2,132,234.0,1,2,179,0,0.0,1,0.0,7.0,0
WC-87669,63,0,3,120,354.0,0,0,97,1,0.0,1,0.0,3.0,0
UN-77063,45,0,3,126,242.0,0,0,162,0,0.0,2,0.0,3.0,0
KC-13439,56,1,2,130,240.0,0,2,175,0,0.0,1,0.0,3.0,0
TA-95745,58,1,4,140,166.0,0,2,131,1,6.2,2,2.0,6.0,0
YX-34608,44,1,3,130,255.0,0,0,178,0,1.9,1,0.0,7.0,0
XZ-22520,57,1,4,128,276.0,1,2,95,1,2.1,3,2.0,6.0,1
QF-85569,52,1,3,118,246.0,0,0,169,0,0.0,1,3.0,3.0,1
XK-09815,59,1,3,138,223.0,0,0,157,0,0.0,1,0.0,3.0,0
JS-20886,43,0,2,112,198.0,0,0,179,0,0.6,1,0.0,3.0,0
DN-77417,62,1,3,130,208.0,0,2,121,0,2.0,2,1.0,3.0,0
HQ-40288,35,1,4,120,167.0,0,2,122,1,2.6,2,0.0,6.0,1
WQ-50772,47,0,4,150,268.0,0,2,126,1,0.1,1,1.0,3.0,1
MZ-01638,54,1,4,140,289.0,0,2,88,1,1.6,2,0.0,7.0,1
XV-60492,59,1,1,150,282.0,0,2,150,0,0.0,1,1.0,3.0,1
UG-19006,51,1,3,140,232.0,0,2,163,0,0.0,1,3.0,3.0,0
JQ-34277,43,0,3,105,204.0,0,2,182,0,0.0,1,0.0,3.0,0
FA-68021,60,1,4,140,271.0,1,0,171,1,1.5,1,3.0,7.0,1
UM-96143,46,1,4,150,219.0,0,0,98,1,2.3,2,1.0,7.0,1
LE-64653,66,0,3,150,223.0,1,0,146,0,1.2,2,1.0,3.0,0
BX-40161,59,1,4,135,234.0,0,0,132,1,0.0,2,1.0,7.0,0
NL-48137,56,1,2,130,221.0,1,2,158,0,0.0,1,1.0,3.0,0
KQ-50246,56,1,4,120,283.0,0,2,112,1,1.8,2,0.0,7.0,1
YZ-01350,56,1,4,160,249.0,0,2,105,0,0.1,2,1.0,3.0,1
RW-11568,45,1,4,110,303.0,0,2,143,1,3.0,2,0.0,3.0,0
UO-42618,76,0,4,160,211.0,0,2,146,1,1.0,2,0.0,3.0,1
RG-59811,59,1,4,170,274.0,0,0,140,0,4.2,2,2.0,6.0,1
RL-13293,35,1,1,118,157.0,0,0,170,0,3.8,1,0.0,7.0,0
JS-81927,56,1,1,150,131.0,1,0,169,1,0.9,1,1.0,7.0,1
YC-75702,43,1,4,110,206.0,0,2,177,0,0.5,2,0.0,3.0,0
XY-59063,53,1,4,138,203.0,0,2,148,0,4.0,3,3.0,7.0,1
CE-78077,45,1,4,112,206.0,0,2,159,0,0.0,1,0.0,7.0,0
ZW-46726,52,1,4,128,204.0,0,0,182,0,0.0,1,0.0,3.0,0
EV-35923,51,1,3,94,188.0,0,0,139,0,0.6,1,1.0,3.0,0
RV-76925,46,1,4,130,244.0,0,2,122,0,4.2,3,0.0,3.0,0
PK-94725,49,1,4,140,213.0,0,0,182,0,0.0,1,0.0,7.0,1
DZ-76251,55,0,2,135,196.0,0,1,169,0,0.0,1,2.0,3.0,0
XK-89274,61,1,1,170,274.0,0,0,148,0,1.0,2,0.0,7.0,0
OL-87208,48,1,3,124,253.0,1,2,152,0,0.0,1,2.0,3.0,1
PD-42086,35,0,2,108,210.0,0,0,174,0,1.2,2,0.0,3.0,0
NB-45766,58,1,2,114,201.0,0,0,172,0,0.0,2,1.0,6.0,1
KN-87410,56,1,2,120,232.0,0,0,178,0,0.0,1,0.0,7.0,0
KJ-69895,55,1,2,120,220.0,0,0,156,0,0.4,1,0.0,3.0,0
ZV-95760,58,1,4,125,220.0,0,0,142,1,1.8,1,2.0,7.0,1
XP-53611,66,1,2,160,246.0,0,2,146,0,0.4,2,0.0,7.0,1
HR-62223,54,1,4,142,262.0,0,2,88,1,1.8,2,0.0,7.0,1
HK-18405,56,1,4,120,249.0,0,2,126,1,2.6,2,1.0,3.0,1
EK-47230,41,1,3,130,250.0,0,0,162,0,0.0,1,1.0,3.0,1
TC-58298,47,1,3,140,240.0,0,0,173,0,0.2,1,0.0,3.0,0
CA-13113,71,1,4,145,174.0,0,0,105,0,2.8,2,1.0,3.0,1
AO-38491,67,1,3,140,231.0,0,2,143,1,2.2,3,3.0,3.0,0
YC-68711,44,1,2,101,229.0,0,0,175,0,0.2,2,0.0,7.0,0
EG-32845,41,1,2,110,198.0,0,0,168,0,0.0,1,0.0,3.0,0
LN-44022,57,1,3,154,243.0,1,2,178,1,0.0,1,2.0,7.0,1
IT-87896,42,1,3,140,180.0,0,2,180,0,0.0,1,0.0,3.0,0
MK-95442,43,1,4,140,308.0,0,2,136,1,2.6,3,0.0,3.0,0
AE-77589,57,1,2,132,221.0,0,0,147,0,0.2,2,0.0,3.0,0
PA-20827,42,1,3,112,253.0,0,0,179,0,0.0,1,0.0,7.0,0
XA-06450,49,0,4,140,394.0,0,2,120,0,3.0,2,0.0,7.0,1
FG-55181,58,1,4,146,282.0,0,2,111,1,3.2,2,1.0,7.0,1
AJ-14101,58,1,4,140,204.0,0,2,125,1,2.5,2,1.0,7.0,1
XP-30687,56,1,4,132,131.0,0,0,111,1,1.2,2,1.0,3.0,0
BZ-84298,37,1,3,138,250.0,0,0,182,0,0.0,1,0.0,3.0,0
YI-29146,61,0,4,145,394.0,1,2,157,0,1.9,2,3.0,7.0,1
HW-68447,53,1,4,138,255.0,1,2,113,1,1.8,2,0.0,7.0,1
ZR-63644,43,1,4,115,197.0,0,0,118,0,0.1,1,2.0,7.0,1
WQ-24961,44,0,3,120,177.0,0,0,149,0,0.5,2,0.0,3.0,0
QL-46430,57,1,4,124,131.0,0,0,113,1,1.6,2,3.0,7.0,1
ZE-89576,41,1,2,110,199.0,1,0,168,0,0.0,1,0.0,3.0,0
OK-07777,60,0,4,174,164.0,1,0,160,1,2.6,1,2.0,3.0,0
US-76784,67,0,3,115,278.0,1,2,160,0,1.6,2,0.0,3.0,0
XK-81221,56,1,4,132,283.0,0,2,109,1,2.2,2,1.0,7.0,1
JI-09280,54,0,3,135,240.0,0,2,173,0,0.0,1,0.0,,0
SJ-16133,64,0,3,155,278.0,0,2,151,0,0.0,1,1.0,7.0,1
XN-32868,63,1,2,152,245.0,1,0,150,0,0.0,1,2.0,3.0,1
EH-79376,56,1,2,140,236.0,0,2,180,0,0.0,1,0.0,3.0,0
BI-27372,63,1,3,125,254.0,1,2,140,1,1.2,2,0.0,7.0,0
ZT-36343,55,1,2,130,289.0,0,2,156,0,0.8,1,2.0,3.0,0
NK-17051,54,1,4,124,217.0,0,0,126,1,0.0,2,1.0,7.0,1
ZI-38118,63,0,4,140,268.0,0,0,154,0,0.0,1,0.0,3.0,0
UX-57408,57,1,2,132,232.0,0,2,158,0,0.4,2,0.0,7.0,1
AV-77516,50,1,4,140,200.0,0,0,178,0,0.0,1,,3.0,0
RJ-41860,44,0,2,130,242.0,0,2,172,0,0.0,1,0.0,3.0,0
KB-10219,60,1,3,138,197.0,0,0,157,1,0.0,1,2.0,7.0,0
KO-85778,56,1,4,125,184.0,0,0,115,1,1.6,2,0.0,6.0,1
RS-57420,53,1,3,120,273.0,0,2,157,0,0.0,1,1.0,7.0,0
ZC-82596,54,1,2,172,326.0,0,2,162,0,0.0,1,0.0,7.0,0
LE-62243,49,1,4,110,211.0,0,0,181,0,0.0,3,0.0,3.0,0
DI-37826,57,1,3,154,211.0,0,2,164,0,0.0,1,0.0,3.0,0
MB-31325,50,0,2,105,295.0,0,0,160,0,0.0,1,0.0,3.0,0
JZ-47162,51,1,4,130,256.0,0,2,122,1,0.0,1,3.0,7.0,1
MH-76304,41,1,3,120,175.0,0,2,172,0,0.0,1,0.0,3.0,0
HJ-13946,60,1,4,117,258.0,0,2,138,1,0.1,1,0.0,7.0,1
KZ-79893,64,0,3,140,228.0,1,2,174,0,1.5,1,0.0,3.0,0
HM-00240,48,1,4,120,188.0,0,0,160,0,0.0,1,,7.0,1
PF-20136,61,0,4,130,256.0,0,2,163,1,0.6,2,,3.0,0
QA-55243,51,0,3,120,340.0,0,0,170,0,0.8,1,1.0,3.0,0
YF-83680,56,0,1,120,214.0,0,2,125,0,1.2,2,1.0,3.0,1
IP-44282,41,1,4,110,157.0,0,2,130,1,1.5,2,0.0,7.0,1
CJ-28158,41,0,3,112,210.0,0,0,168,0,0.0,1,0.0,3.0,0
DS-57701,44,1,3,130,235.0,0,2,168,0,0.0,2,0.0,6.0,0
LA-96074,56,1,4,130,249.0,0,2,105,1,1.8,2,1.0,7.0,1
MA-03745,41,1,4,110,219.0,0,2,122,1,1.2,2,0.0,7.0,1
ON-80804,45,1,4,142,226.0,0,2,181,0,0.0,1,0.0,3.0,0
PV-14053,45,1,3,130,231.0,0,2,147,0,2.9,2,2.0,7.0,1
LH-60634,52,1,4,128,212.0,0,0,182,0,0.0,2,0.0,3.0,0
UU-64794,64,1,4,128,304.0,0,0,141,0,2.8,2,3.0,7.0,1
HR-93189,53,1,2,172,270.0,0,0,162,0,0.6,1,3.0,3.0,0
XU-22900,49,0,2,120,219.0,0,0,138,1,0.0,1,0.0,3.0,0
DK-76359,59,1,2,135,177.0,0,2,133,0,1.4,2,0.0,3.0,0
BL-23869,64,0,4,155,417.0,0,2,163,0,1.6,2,0.0,3.0,0
CZ-03517,71,0,2,115,265.0,0,0,131,0,0.0,2,1.0,3.0,0
SC-41671,77,0,4,152,302.0,0,2,154,0,0.0,1,2.0,3.0,1
BN-38109,69,0,1,110,269.0,0,0,160,1,3.8,1,0.0,7.0,0
TS-72224,42,1,4,136,247.0,1,0,163,0,0.0,1,3.0,7.0,1
FN-68537,44,1,4,110,206.0,0,2,177,0,0.0,1,0.0,3.0,0
ZX-62763,65,1,4,100,229.0,0,0,141,0,1.2,2,0.0,6.0,1
WD-76324,41,1,4,132,167.0,0,0,156,1,0.2,1,0.0,7.0,0
RR-14163,60,1,4,140,253.0,0,2,125,1,3.6,2,0.0,7.0,0
RR-24362,44,1,2,120,263.0,0,0,179,0,1.2,1,0.0,3.0,0
CZ-34779,52,1,4,125,203.0,0,0,168,1,0.0,1,1.0,7.0,1
XK-27828,49,1,3,118,175.0,0,2,123,0,1.8,2,1.0,7.0,1
DX-65896,58,1,2,100,318.0,0,0,152,0,0.0,2,0.0,6.0,0
RI-76712,59,1,4,150,176.0,0,2,111,1,0.0,1,1.0,7.0,0
PF-62490,58,0,4,170,164.0,1,2,133,1,2.0,2,1.0,3.0,0
BE-53721,38,0,3,94,209.0,1,0,202,0,0.0,1,0.0,7.0,1
GY-91783,43,0,3,112,210.0,0,0,170,0,0.0,1,1.0,3.0,0
FC-58332,62,0,2,124,197.0,0,0,121,0,1.4,2,1.0,3.0,0
GF-47686,44,1,2,135,309.0,0,0,132,0,0.0,2,1.0,6.0,0
ZD-59791,53,1,4,140,282.0,0,2,112,1,5.6,1,0.0,7.0,1
GW-21935,58,1,4,100,234.0,0,2,125,0,0.6,2,1.0,7.0,0
PR-88887,47,0,4,140,409.0,0,2,125,0,3.0,2,0.0,6.0,1
QE-22734,63,1,3,125,254.0,1,2,160,0,0.0,1,2.0,3.0,0
GT-67497,54,1,4,140,286.0,0,2,116,1,2.8,3,1.0,7.0,1
QL-57066,63,1,4,120,299.0,0,0,125,1,2.8,2,3.0,7.0,1
PI-30370,49,0,4,150,407.0,0,2,125,1,3.4,2,0.0,7.0,1
MT-38777,64,0,4,155,564.0,1,2,157,0,1.6,3,0.0,3.0,0
NA-37236,60,1,4,140,234.0,1,0,162,0,0.4,1,2.0,7.0,0
JO-06446,66,1,1,170,199.0,1,0,131,0,0.0,1,1.0,3.0,0
RP-43072,42,1,3,130,253.0,0,2,188,0,0.0,1,0.0,3.0,0
DZ-33764,44,0,4,112,236.0,0,0,160,0,0.0,1,1.0,3.0,1
YE-59106,70,1,4,180,289.0,0,2,125,1,0.0,2,3.0,3.0,1
RY-88544,55,0,4,128,216.0,0,2,130,1,0.0,2,1.0,3.0,1
JV-10735,59,1,4,138,271.0,0,2,142,1,3.2,1,2.0,7.0,1
IT-65790,60,0,4,130,236.0,0,2,142,1,1.2,2,2.0,7.0,1
JW-12668,50,1,4,140,298.0,0,0,173,0,1.6,3,0.0,7.0,0
JZ-13476,58,1,4,150,203.0,0,0,111,1,0.8,2,2.0,7.0,1
QR-80508,60,1,1,150,273.0,0,0,171,0,3.8,1,0.0,7.0,0
DB-23005,76,0,3,110,211.0,0,0,115,0,1.5,2,0.0,3.0,0
FQ-47853,57,1,2,110,318.0,0,1,170,0,0.2,2,0.0,7.0,1
MZ-33836,43,1,4,120,188.0,0,2,143,1,4.0,2,0.0,7.0,1
NM-83423,63,0,4,140,409.0,0,2,154,1,1.6,2,0.0,3.0,0
YB-00813,42,0,3,130,209.0,0,2,182,0,3.5,2,0.0,3.0,0
QP-46164,62,0,4,124,303.0,0,2,163,0,0.0,1,0.0,3.0,0
FD-01722,49,1,4,130,299.0,0,2,166,0,0.0,1,1.0,7.0,1
IQ-16886,69,1,3,140,254.0,0,2,143,1,2.9,2,2.0,3.0,1
DU-66478,59,0,4,145,258.0,0,2,157,0,1.4,2,0.0,3.0,0
TC-72839,44,1,4,112,208.0,0,2,148,1,1.8,1,0.0,3.0,0
GL-54285,61,1,2,130,216.0,1,2,130,1,0.0,1,1.0,3.0,0
AW-95382,41,1,2,120,204.0,0,0,153,0,0.0,1,0.0,3.0,0
EH-31126,58,1,4,140,206.0,0,2,132,1,2.4,2,2.0,6.0,1
DT-06481,35,0,2,130,306.0,0,2,173,0,0.6,1,0.0,3.0,0
FA-32029,48,1,2,101,325.0,0,0,167,0,1.0,2,0.0,7.0,1
SS-12227,57,0,4,128,303.0,0,2,160,0,0.0,1,0.0,7.0,1
EP-58928,60,1,4,138,207.0,0,0,132,1,0.9,2,0.0,7.0,1
GX-68344,52,1,4,128,255.0,1,2,163,0,0.2,2,0.0,3.0,0
VW-68549,64,1,1,170,288.0,0,2,145,0,0.0,2,2.0,6.0,1
FG-45205,48,1,3,118,226.0,0,0,158,0,2.4,2,3.0,7.0,0
GZ-08417,54,1,2,125,286.0,1,2,147,0,0.0,1,0.0,3.0,0
LX-69498,34,1,4,118,282.0,0,2,158,0,0.0,1,0.0,7.0,0
EI-92849,66,0,3,155,228.0,1,0,151,0,0.8,1,1.0,3.0,0
LV-51011,41,1,2,120,235.0,0,0,179,0,0.8,1,0.0,3.0,0
IC-32719,65,0,4,150,313.0,0,2,154,0,0.0,1,1.0,7.0,1
LJ-67892,63,0,4,140,234.0,0,0,161,0,0.0,1,0.0,7.0,1
BM-14678,56,0,4,134,234.0,0,2,133,1,0.0,2,0.0,3.0,0
QN-44605,65,1,1,138,254.0,1,2,158,0,0.2,3,1.0,6.0,1
VQ-49958,35,1,2,110,182.0,0,0,187,0,0.0,1,0.0,3.0,0
BX-36600,35,0,3,94,220.0,1,2,173,0,0.0,1,0.0,3.0,0
IR-70786,57,0,2,120,318.0,0,1,152,0,0.0,2,0.0,3.0,0
MP-30617,74,0,4,160,149.0,0,0,161,1,0.0,1,0.0,7.0,1
AN-89584,56,0,4,132,234.0,0,2,133,1,1.2,2,0.0,3.0,0
GF-45606,57,1,4,150,192.0,0,0,111,1,1.0,2,2.0,6.0,1
KR-26564,52,0,2,110,267.0,0,0,170,0,0.0,1,0.0,3.0,0
BQ-05536,57,0,3,120,214.0,0,0,115,0,0.8,1,0.0,3.0,0
EN-57847,61,1,4,130,206.0,0,2,131,1,2.0,2,1.0,7.0,1
TY-01909,63,0,3,102,214.0,0,0,151,0,1.0,2,0.0,3.0,0
XG-63728,42,1,4,150,226.0,0,0,181,0,0.0,1,0.0,7.0,0
EH-64931,65,0,4,150,303.0,0,2,143,0,0.8,2,0.0,3.0,0
MV-32531,45,1,4,142,309.0,0,2,120,1,2.8,2,0.0,7.0,1
JW-44735,62,1,1,150,246.0,1,2,150,0,2.3,1,2.0,3.0,1
IJ-76349,42,1,2,130,219.0,0,2,172,1,0.0,1,2.0,3.0,1
FK-28266,47,1,4,150,274.0,0,0,181,0,0.0,1,0.0,3.0,0
SA-72958,34,1,4,118,203.0,0,0,158,0,0.0,1,0.0,7.0,1
IJ-09267,58,1,4,100,234.0,0,2,141,0,1.2,2,0.0,6.0,1
HC-45557,59,1,1,178,274.0,0,2,171,0,0.2,1,1.0,3.0,0
RZ-03099,51,0,4,130,197.0,0,0,182,0,1.4,1,0.0,3.0,0
UY-04614,59,0,4,150,394.0,0,2,150,1,0.8,1,0.0,3.0,0
MF-74065,60,1,4,140,234.0,1,0,138,1,2.6,3,2.0,6.0,1
AB-81488,65,0,3,140,360.0,0,2,133,0,0.2,2,0.0,3.0,0
XN-17878,55,1,2,120,309.0,0,0,170,0,1.0,1,0.0,3.0,0
RO-01282,41,1,3,120,321.0,0,0,194,0,0.0,2,0.0,6.0,0
TQ-20829,53,1,3,152,233.0,1,0,195,0,0.0,2,0.0,3.0,0
DL-84248,74,0,2,110,197.0,0,0,160,0,1.1,2,1.0,3.0,1
NZ-53399,50,0,4,150,268.0,1,2,181,0,0.0,1,0.0,3.0,1
BY-98855,62,1,4,130,282.0,1,2,132,0,2.8,2,3.0,7.0,1
BV-15343,58,0,3,102,178.0,0,0,126,0,1.5,2,0.0,3.0,1
KB-81331,47,0,3,120,214.0,0,0,123,0,1.2,2,0.0,3.0,0
IB-20809,46,0,4,138,243.0,0,2,143,1,0.8,1,1.0,3.0,1
CJ-26260,63,1,3,160,269.0,1,0,137,1,1.2,2,0.0,7.0,0
QU-13072,58,1,2,128,204.0,0,2,172,0,0.0,1,1.0,3.0,0
YT-00565,62,0,4,140,307.0,0,2,160,0,1.6,1,0.0,3.0,0
AL-99713,51,1,4,140,261.0,0,0,152,1,3.6,3,0.0,7.0,1
AV-72133,43,1,4,115,206.0,1,0,160,0,1.8,1,0.0,7.0,1
GS-69419,52,1,4,112,230.0,0,0,177,0,0.2,2,2.0,3.0,0
SN-92841,48,1,3,140,315.0,1,0,153,0,2.6,3,1.0,7.0,0
IV-70324,61,1,3,117,230.0,0,0,144,1,2.0,2,1.0,7.0,1
DV-44115,61,1,4,138,234.0,0,0,138,1,5.6,2,3.0,7.0,1
DN-69842,54,1,3,130,258.0,0,2,153,1,0.0,1,0.0,3.0,0
JX-10374,53,1,4,120,188.0,0,0,115,1,1.6,2,0.0,3.0,0
EF-71617,54,1,4,110,275.0,0,2,143,1,1.5,1,0.0,7.0,1
MB-39037,55,1,4,132,353.0,0,2,145,1,4.4,3,3.0,7.0,1
FN-41725,41,1,4,110,204.0,0,2,122,1,2.8,2,0.0,3.0,0
DA-17065,35,1,2,120,192.0,0,0,170,1,0.0,1,0.0,3.0,0
TH-43632,45,1,4,104,204.0,0,2,120,1,1.8,2,0.0,7.0,1
HP-15806,47,1,4,138,299.0,0,0,166,0,0.2,1,0.0,7.0,1
IS-56561,39,1,1,118,167.0,0,0,149,0,0.9,3,,7.0,0
MN-91853,57,1,2,152,221.0,1,0,178,0,0.0,1,1.0,7.0,0
NT-97019,54,1,4,130,266.0,0,2,88,1,2.2,2,1.0,7.0,1
